_service,Адрес ДТП,Дата и время,Код СКДФ,Вид ДТП,Ранено,Погибло,Количество участников,Количество ТС,Система источник,Причины ДТП,_page
,"БЕЖАНИЦКИЙ РАЙОН ПУШКИНСКИЕ ГОРЫ-ЛОКНЯ
Пушкинские Горы - Локня",30.12.2024 в 17:57:00,337185439,Наезд на стоящее ТС,0,0,1,1,Официальный сайт Госавтоинспекции,Нахождение на проезжей части без цели её перехода,2
,"Чудовский М-10 Россия Москва - Тверь - Великий Новгород - Санкт-Петербург (основное направление)
М-10 ""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург (362+020 - 592+700)",30.12.2024 в 17:53:00,337181452,Столкновение,0,0,0,7,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,2
,"МО ГО Сыктывкар
ул Орджоникидзе",30.12.2024 в 17:53:00,337173290,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"Октябрьский район
Ул. Восход - Октябрьский мост - пр. Карла Маркса - ул. Титова",30.12.2024 в 17:50:00,337215427,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,"Выезд на полосу встречного движения в местах, где это запрещено",2
,"Кинешемский
ул Гагарина",30.12.2024 в 17:50:00,337213397,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,2
,"Балаковский р-н Р-228, подъезд к Балаковской АЭС, км 0+000 - км 29+400
Р-228 Сызрань - Саратов - Волгоград (0+000 - 29+486)",30.12.2024 в 17:50:00,337203529,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,2
,"Первомайский район Первомайск - а/д Выездное - Дивеево - Сатис
Первомайск - а/д Выездное - Дивеево - Сатис",30.12.2024 в 17:50:00,337186427,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения; Превышение установленной скорости движения,2
,"Фрунзенский район
ул Фучика (от Белградской ул до Софийской ул)",30.12.2024 в 17:45:00,337189247,Падение пассажира,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение правил пользования общественным транспортом,2
,"МО ГО Сыктывкар
Подъезд к промышленному узлу ""Дырносский""",30.12.2024 в 17:45:00,337173313,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,2
,"Иссинский р-н Р-158 Нижний Новгород - Арзамас - Саранск - Исса - Пенза - Саратов
Р-158 Нижний Новгород - Арзамас - Саранск - Исса - Пенза - Саратов (320+900 - 516+100)",30.12.2024 в 17:44:00,337208497,Столкновение,1,1,0,2,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,2
,"ПСКОВСКИЙ РАЙОН Псков-Гдов-Сланцы-Кингисепп-Куземкино-Краколье
Псков - Гдов - Сланцы - Кингисепп - Краколье",30.12.2024 в 17:40:00,337185453,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть в неустановленном месте (при наличии в зоне видимости перекрёстка),2
,"Тимский Р-298 Курск - Воронеж - автомобильная дорога Р-22 Каспий
Р-298 Курск - Воронеж - автомобильная дорога Р-22 ""Каспий"" (9+200 - 152+595)",30.12.2024 в 17:31:00,337196892,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,2
,"г. Обнинск
Автодорога по пр Ленина",30.12.2024 в 17:30:00,337218948,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,2
,"Гагаринский район
5 км Балаклавского шоссе - мыс Фиолент",30.12.2024 в 17:30:00,337218137,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,"Несоблюдение условий, разрешающих движение транспорта задним ходом",2
,"Приволжский район Автодорога Волгоград - Астрахань
Волгоград - Астрахань",30.12.2024 в 17:30:00,337212957,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,,2
,"ЛАБИНСКИЙ
Р-217 ""Кавказ"" автомобильная дорога М-4 ""Дон""-Владикавказ-Грозный-Махачкала - граница с Азербайджанской Республикой (Подъезд к г. Майкоп (от км 164) (0+050 - 43+664)",30.12.2024 в 17:30:00,337205851,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение требований дорожных знаков,2
,"Московский район
Сормовское шоссе от Московского шоссе до ул 50-летия Победы",30.12.2024 в 17:30:00,337186449,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,2
,Ливенский р-н,30.12.2024 в 17:30:00,337175821,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"г. Ставрополь
ул Л.Толстого",30.12.2024 в 17:30:00,337170842,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,2
,"Всеволожский р-н Участок А-181 Скандинавия, Магистральная
А-181 ""Скандинавия"" Санкт-Петербург - Выборг - граница с Финляндской Республикой («Магистральная» от Р-21«Кола» через А-121 «Сортавала» до А-181) (км 0+000 – км 123+750)",30.12.2024 в 17:25:00,337202084,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Нахождение на проезжей части без цели её перехода; Несоответствие скорости конкретным условиям движения,2
,"Черняховский район
А–229 Калининград – Черняховск – Нестеров – граница с Литовской Республикой (8+000 - 150+400)",30.12.2024 в 17:20:00,337219501,Наезд на пешехода,0,0,1,2,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,2
,"ЕГОРЛЫКСКИЙ ст. Егорлыкская– ст. Новороговская – ст. Плоская (до границы Краснодарского края)
ст. Егорлыкская - ст. Новороговская - ст. Плоская (до границы Краснодарского края)",30.12.2024 в 17:20:00,337200389,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Превышение установленной скорости движения,2
,"Заволжский
пр-кт Туполева",30.12.2024 в 17:15:00,337198174,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"Ленинский район
Ленина пр (боковая дорога вдоль пр Ленина по нечетной стороне пр Ленина — ул Дружбы до ул Норильская)",30.12.2024 в 17:10:00,337186466,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения; Нарушение правил проезда пешеходного перехода,2
,"Тамбов
ул. Агапкина (от ул. Мичуринской до ул. Рылеева)",30.12.2024 в 16:50:00,337213896,Падение пассажира,0,0,0,2,Официальный сайт Госавтоинспекции,Невыполнение требований обеспечения безопасности при начале движения,2
,"ГЕЛЕНДЖИК (РАЙОН)
ул Революционная",30.12.2024 в 16:50:00,337205808,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Превышение установленной скорости движения,2
,"Люберецкий р-н
ш Новорязанское",30.12.2024 в 16:50:00,337177595,Столкновение,0,0,0,6,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"Раменский р-н А-107 Московское малое кольцо Икша - Ногинск - Бронницы - Голицыно - Истра - Икша
А-107 ""Московское малое кольцо"" Икша - Ногинск - Бронницы - Голицыно - Истра - Икша (0+000 - 238+526)",30.12.2024 в 16:50:00,337177543,Столкновение,1,1,0,5,Официальный сайт Госавтоинспекции,"Выезд на полосу встречного движения в местах, где это запрещено; Нарушение правил обгона; Нарушение требований линий разметки",2
,"Октябрьский район
ул Красина",30.12.2024 в 16:45:00,337215408,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,2
,"Черноморский район
ул Рабочая",30.12.2024 в 16:40:00,337214482,Наезд на препятствие,1,1,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,Никольский Тотьма-Никольск,30.12.2024 в 16:40:00,337192698,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"Октябрьский р-н
3-й Детский пр.",30.12.2024 в 16:38:00,337203513,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,2
,"г.Кольчугино
ул Добровольского",30.12.2024 в 16:35:00,337174442,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"БЕЛГОРОД
ул Красноармейская",30.12.2024 в 16:33:00,337220618,Столкновение,1,1,0,4,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,2
,"Засвияжский
ул Отрадная (от ул Рябикова до ул Шолмова)",30.12.2024 в 16:30:00,337198180,Наезд на стоящее ТС,0,0,0,4,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,2
,"Череповец
ул Чайковского",30.12.2024 в 16:30:00,337192732,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"Воротынский район М-7 Волга Москва - Владимир - Нижний Новгород - Казань (основное направление)
М-7 ""Волга"" Москва - Владимир - Нижний Новгород - Казань (442+796 - 573+790)",30.12.2024 в 16:30:00,337186443,Съезд с дороги,0,0,0,4,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения; Несоответствие скорости конкретным условиям движения,2
,"Сокольский СОКОЛ-ХАРОВСК-ВОЖЕГА
Сокол — Харовск — Вожега",30.12.2024 в 16:25:00,337192701,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"Первомайский район
ул Казанская",30.12.2024 в 16:23:00,337195415,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,2
,"Сегежский р-н Р-21 Кола Санкт-Петербург - Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия (основное направление)
Р-21 ""Кола"" Санкт-Петербург - Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия (км 259+390 - км 1070+806)",30.12.2024 в 16:20:00,337209245,Столкновение,1,1,0,6,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"Городищенский район Р-228 Сызрань - Саратов - Волгоград
Р-228 Сызрань - Саратов - Волгоград (446+636 - 672+387)",30.12.2024 в 16:20:00,337198984,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,2
,"Мирнинский
ул Ленина",30.12.2024 в 16:20:00,337197578,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"Адыге-Хабльский р-н Р-217 Кавказ, подъезд к городу Черкесск
Р-217 ""Кавказ"" автомобильная дорога М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой, Подъезд к г.Черкесск (27+321 - 63+000)",30.12.2024 в 16:18:00,337181273,Наезд на препятствие,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"Лабытнанги
ул Обская",30.12.2024 в 16:12:00,337176214,Столкновение,0,0,1,4,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"Советский
ул Сарментовой",30.12.2024 в 16:10:00,337213401,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"г.Петрозаводск ад Кола, 435 км Петрозаводск
Кола, км 435 - Петрозаводск",30.12.2024 в 16:10:00,337209233,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"Жигулевск
ул Морквашинская",30.12.2024 в 16:10:00,337166303,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"МО МР Сосногорск Сосногорск - Керки (участок а/д Сыктывкар - Нарьян-Мар)
Сыктывкар - Ухта - Печора - Усинск - Нарьян-Мар на участке Сосногорск - Керки",30.12.2024 в 16:05:00,337173285,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"Центральный АО
ул Северная 24-я",30.12.2024 в 16:00:00,337184002,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"Приморский округ М-8 Холмогоры, подъезд к городу Северодвинск
М-8 ""Холмогоры"" Москва - Ярославль - Вологда - Архангельск (подъезд к г. Северодвинск) (0+000 - 35+000)",30.12.2024 в 15:57:00,337215118,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"Онежский район Онега - Тамица - Кянда - Пурнема
Онега - Тамица - Кянда",30.12.2024 в 15:50:00,337215148,Съезд с дороги,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"Урицкий р-н НАРЫШКИНО-СОСКОВО (С 0+012 ПО 35+360)
Нарышкино - Сосково",30.12.2024 в 15:50:00,337175807,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"Сортавальский р-н А-121 Сортавала Санкт-Петербург - Сортавала - автомобильная дорога Р-21 Кола
А-121 ""Сортавала"" Санкт-Петербург - Сортавала - автомобильная дорога Р-21 ""Кола"" (154+450 — 463+321)",30.12.2024 в 15:45:00,337209229,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Непредоставление преимущества в движении пешеходу,2
,"Калининград
пр-кт Советский",30.12.2024 в 15:35:00,337219506,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,2
,"Сарпинский район Р-22 Каспий, подъезд к городу Элиста
Р-22 ""Каспий"" автомобильная дорога М-4 ""Дон"" - Тамбов - Волгоград - Астрахань, подъезд к г. Элиста, (км 84+620 - км 291+000)",30.12.2024 в 15:35:00,337173704,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,2
,"г. Кузнецк
ул Кирова",30.12.2024 в 15:30:00,337208493,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,"Несоблюдение условий, разрешающих движение транспорта задним ходом",2
,"Г. ПСКОВ Р-23 Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Беларусь (основное направление)
Р-23 Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Беларусь (178+992 - 542+221) (542+585 - 542+686)",30.12.2024 в 15:30:00,337185449,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,3
,"г.о. Нальчик
пр-кт Ленина",30.12.2024 в 15:28:00,337203236,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,3
,"Велижский район Ольша - Велиж - Усвяты - Невель
Автодорожный обход г. Велижа",30.12.2024 в 15:25:00,337198603,Столкновение,1,1,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,3
,"Привокзальный район
ул Смидович",30.12.2024 в 15:25:00,337176420,Наезд на велосипедиста,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора; Пересечение велосипедистом проезжей части по пешеходному переходу,3
,"г.Петрозаводск
наб Варкауса",30.12.2024 в 15:20:00,337209239,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение правил перестроения,3
,"Прионежский р-н а\д КОЛА 423км - ПЕТРОЗАВОДСК
ш Пряжинское",30.12.2024 в 15:15:00,337209218,Столкновение,0,0,0,7,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,3
,"Вологодский КУБЕНСКОЕ-СЕВЕРНАЯ ФЕРМА
Кубенское - Северная Ферма",30.12.2024 в 15:10:00,337192708,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,3
,"Железнодорожный район
ш Малое",30.12.2024 в 15:06:00,337175257,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Неподчинение сигналам регулирования,3
,"Вяземский район Р-132 Золотое кольцо Ярославль – Кострома – Иваново – Владимир – Гусь-Хрустальный – Рязань – Михайлов – Тула – Калуга – Вязьма – Ржев – Тверь – Углич - Ярославль (основное направление)
Р-132 ""Золотое кольцо"" Ярославль - Кострома - Иваново - Владимир - Гусь-Хрустальный - Рязань - Михайлов - Тула - Калуга - Вязьма - Ржев - Тверь - Углич - Ярославль (838+510 - 988+119)",30.12.2024 в 15:02:00,337198610,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,3
,"Ленинский
ул Суханова",30.12.2024 в 14:50:00,337191623,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,3
,"ТУАПСИНСКИЙ М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление)
М-4 ""Дон"" Москва - Воронеж - Ростов-на-Дону - Краснодар - Новороссийск (20+650 - 1542+215)",30.12.2024 в 14:45:00,337205812,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Превышение установленной скорости движения,3
,"Приморский округ Исакогорка - Новодвинск - Холмогоры
Исакогорка - Новодвинск - Холмогоры",30.12.2024 в 14:40:00,337215132,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,3
,"БРЮХОВЕЦКИЙ г.Краснодар - г. Ейск
г. Краснодар - г. Ейск",30.12.2024 в 14:30:00,337205822,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение бокового интервала,3
,"Центральный АО
ул Герцена",30.12.2024 в 14:30:00,337184008,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,"Выезд на полосу встречного движения в местах, где это запрещено; Несоответствие скорости конкретным условиям движения",3
,"Кировский р-н
ул Путейская",30.12.2024 в 14:30:00,337166257,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,"Несоблюдение условий, разрешающих движение транспорта задним ходом",3
,"г Новгород
автомобильная дорога от ул. Державина до ул. Советской Армии",30.12.2024 в 14:25:00,337181448,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,3
,"Гурьевский район Северный обход г. Калининграда
Северный обход г. Калининграда - ул. Большая Окружная",30.12.2024 в 14:20:00,337219513,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,3
,"Советский район
ул Ястынская от ул Гайдашовка до пересечения с ул Пограничников в Советском районе",30.12.2024 в 14:20:00,337211013,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,3
,СТАРООСКОЛЬСКИЙ РАЙОН,30.12.2024 в 14:15:00,337220626,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,3
,МО ГО Ухта,30.12.2024 в 14:12:00,337173309,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Движение вдоль проезжей части при наличии и удовлетворительном состоянии тротуара,3
,"Верещагинский Зюкайка-Кукетский
Зюкайка-Кукетский",30.12.2024 в 14:10:00,337204740,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,3
,"Кировский район
ул Нечаева",30.12.2024 в 14:00:00,337212970,Падение пассажира,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,3
,"Абакан г
ул Ленинского Комсомола",30.12.2024 в 14:00:00,337193747,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,3
,"Полевской п.Северский - г.Полевской
п. Северский - г. Полевской",30.12.2024 в 13:59:00,337209770,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,3
,Приморский район,30.12.2024 в 13:58:00,337189255,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Неожиданный выход из-за стоящего ТС,3
,Калининград,30.12.2024 в 13:57:00,337219497,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Непредоставление преимущества в движении пешеходу,3
,"Карымский муниципальный район ДАРАСУН - СОЛНЦЕВО
ул Автомобилистов",30.12.2024 в 13:55:00,337201724,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,3
,"Октябрьский
пер Базовый",30.12.2024 в 13:50:00,337209794,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,3
,"Борский район Рожново - Марково - Ваганьково
Рожново - Марково - Ваганьково",30.12.2024 в 13:50:00,337186470,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Превышение установленной скорости движения,3
,"Ленинский район
17-Й СОВЕТСКИЙ пер.",30.12.2024 в 13:50:00,337172192,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,3
,"г. Петропавловск-Камчатский А-401 Подъездная дорога от морского порта Петропавловск-Камчатский к аэропорту Петропавловск-Камчатский (Елизово)
А-401 подъездная дорога от морского порта Петропавловск-Камчатский к аэропорту Петропавловск-Камчатский (Елизово) (0+000 - 38+000)",30.12.2024 в 13:42:00,337193908,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,3
,"Нижнекамский р-н
ул Гагарина",30.12.2024 в 13:40:00,337216696,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Непредоставление преимущества в движении пешеходу,3
,Ленинский район,30.12.2024 в 13:40:00,337172162,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,3
,"Симферополь
пр-кт Победы",30.12.2024 в 13:37:00,337214470,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,3
,"Богородский район Богородск - Афанасьево - Куликово
Богородск - Афанасьево - Куликово",30.12.2024 в 13:35:00,337186485,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения; Превышение установленной скорости движения,3
,"Заводской р-н
ш Кромское",30.12.2024 в 13:30:00,337175810,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,3
,"Тайшетский район Р-255 Сибирь Новосибирск - Кемерово - Красноярск – Иркутск (основное направление)
Р-255 ""Сибирь"" Новосибирск - Кемерово - Красноярск - Иркутск (1166+800- 1872+553)",30.12.2024 в 13:30:00,337172180,Столкновение,2,2,0,7,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,3
,"Усть-Кутский район
г. Усть-Кут, автодорога по ул. Зверева от дома №1а по ул. Зверева до строения №2 по ул. Кирова в г. Усть-Куте",30.12.2024 в 13:28:00,337172169,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,3
,"Центральный район
ул Пушкина",30.12.2024 в 13:20:00,337212463,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения; Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,3
,"ПАВЛОВСКИЙ А-321 Барнаул - Павловск - граница с Республикой Казахстан
А-321 Барнаул – Павловск – граница с Республикой Казахстан (13+600 - 401+911)",30.12.2024 в 13:20:00,337194511,Столкновение,1,1,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,3
,"Промышленный р-н
ул Стара Загора",30.12.2024 в 13:20:00,337166245,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,3
,Советский р-н,30.12.2024 в 13:15:00,337216717,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение правил перестроения,3
